Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered, Covaxin (Doses Administered),CoviShield (Doses Administered),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
26-02-2021,Jharkhand,313438,9256,566,289681,23757,27397,262284,,,,289681
27-02-2021,Jharkhand,313438,9256,566,289681,23757,27397,262284,,,,289681
28-02-2021,Jharkhand,313438,9564,576,289681,23757,27397,262284,,,,289681
01-03-2021,Jharkhand,313438,10358,593,289681,23757,27397,262284,,,,289681
02-03-2021,Jharkhand,332286,11146,608,300236,32050,29427,270809,,,,300236
03-03-2021,Jharkhand,350716,12106,638,312092,38624,31379,280713,,,,312092
04-03-2021,Jharkhand,368393,12792,696,323632,44761,32738,290894,,,,323632
05-03-2021,Jharkhand,389443,13811,725,336342,53101,34287,302055,,,,336342
06-03-2021,Jharkhand,410219,14845,756,349329,60890,35706,313623,,,,349329
07-03-2021,Jharkhand,416787,15782,771,353354,63433,36088,317266,,,,353354
08-03-2021,Jharkhand,442754,16553,791,368526,74228,37255,331271,,,,368526
09-03-2021,Jharkhand,402293,51500,408,313825,88468,39169,363112,,,,402293
10-03-2021,Jharkhand,433106,61100,491,328716,104390,40527,392567,,,,433106
11-03-2021,Jharkhand,448191,61950,502,337413,110778,41027,407152,,,,448191
12-03-2021,Jharkhand,480023,76900,636,354643,125380,42058,437953,,,,480023
13-03-2021,Jharkhand,506986,77700,638,369293,137693,43197,463777,,,,506986
14-03-2021,Jharkhand,526061,68900,594,381922,144139,43659,482390,,,,526061
15-03-2021,Jharkhand,564865,96400,833,406491,158374,45177,519676,,,,564865
16-03-2021,Jharkhand,691414,92800,813,520822,170592,48441,642973,,,,520822
17-03-2021,Jharkhand,747474,97901,862,566563,180911,53167,694307,,,,566563
18-03-2021,Jharkhand,779686,92300,823,589818,189868,55383,724303,,,,589818
19-03-2021,Jharkhand,815129,101500,914,617091,198038,57862,757267,,,,617091
20-03-2021,Jharkhand,922788,240201,1962,716690,206098,65479,857309,,,,716690
21-03-2021,Jharkhand,1087557,227800,1925,877428,210129,73772,1013785,,,,877428
22-03-2021,Jharkhand,1131165,115200,1075,914943,216222,77510,1053655,,,,914943
23-03-2021,Jharkhand,1286679,260950,2215,1062427,224252,95779,1190900,,,,1062427
24-03-2021,Jharkhand,1406423,266351,2266,1177165,229258,115969,1290454,,,,1177165
25-03-2021,Jharkhand,1448065,122750,1111,1214880,233185,125607,1322458,,,,1214880
26-03-2021,Jharkhand,1510164,213450,1868,1273664,236500,161360,1348804,,,,1273664
27-03-2021,Jharkhand,1609918,235551,1974,1370655,239263,176781,1433137,,,,1370655
28-03-2021,Jharkhand,1624010,74400,648,1384612,239398,178154,1445856,,,,1384612
29-03-2021,Jharkhand,1625662,54551,452,1386163,239499,178278,1447384,,,,1386163
30-03-2021,Jharkhand,1636559,84999,745,1394924,241635,180616,1455943,,,,1394924
31-03-2021,Jharkhand,1660956,110550,998,1415140,245816,183387,1477569,,,,1415140
01-04-2021,Jharkhand,1686394,109400,972,1437104,249290,185253,1501141,,,,1437104
02-04-2021,Jharkhand,1729117,103750,942,1475614,253503,187646,1541471,,,,1475614
03-04-2021,Jharkhand,1758073,100650,918,1501006,257067,188887,1569186,,,,1501006
04-04-2021,Jharkhand,1839503,193470,1659,1578359,261144,191267,1648236,,,,1578359
05-04-2021,Jharkhand,1913640,221800,1926,1649049,264591,192540,1721100,,,,1649049
06-04-2021,Jharkhand,1973281,127750,1148,1705435,267846,193574,1779707,,,,1705435
07-04-2021,Jharkhand,2062758,226100,2000,1788075,274683,196170,1866588,,,,1788075
08-04-2021,Jharkhand,2134827,197400,1788,1855020,279807,198353,1936474,,,,1855020
09-04-2021,Jharkhand,2162617,137050,1221,1879293,283324,202123,1960494,,,,1879293
10-04-2021,Jharkhand,2260123,243290,2194,1970433,289690,206072,2054051,,,,1970433
11-04-2021,Jharkhand,2359684,257850,2322,2065113,294571,208265,2151419,,,,2065113
12-04-2021,Jharkhand,2429156,184150,1640,2127045,302111,210623,2218533,,,,2127045
13-04-2021,Jharkhand,2505707,260301,2304,2196926,308781,212617,2293090,,,,2196926
14-04-2021,Jharkhand,2595718,253700,2286,2279843,315875,214501,2381217,,,,2279843
15-04-2021,Jharkhand,2640772,175650,1614,2318245,322527,216038,2424734,,,,2318245
16-04-2021,Jharkhand,2681749,283920,2408,2351517,330232,217591,2464158,,,,2351517
17-04-2021,Jharkhand,2733464,305600,2662,2393775,339689,218889,2514575,,,,2393775
18-04-2021,Jharkhand,2775262,223350,2077,2427024,348238,220573,2554689,,,,2427024
19-04-2021,Jharkhand,2807543,291000,2518,2449014,358529,222787,2584756,,,,2449014
20-04-2021,Jharkhand,2848719,326351,2839,2477515,371204,227604,2621115,,,,2477515
21-04-2021,Jharkhand,2877453,226370,2052,2496708,380745,231690,2645763,,,,2496708
22-04-2021,Jharkhand,2901875,252950,2247,2512136,389739,235917,2665958,,,,2512136
23-04-2021,Jharkhand,2935365,310601,2656,2532881,402484,242888,2692477,,,,2532881
24-04-2021,Jharkhand,2965021,188800,1688,2550782,414239,251321,2713700,,,,2550782
25-04-2021,Jharkhand,2977865,113300,1039,2558670,419195,255987,2721878,,,,2558670
26-04-2021,Jharkhand,3005317,193750,1739,2574711,430606,266107,2739210,,,,2574711
27-04-2021,Jharkhand,3029124,199500,1810,2589148,439976,275310,2753814,,,,2589148
28-04-2021,Jharkhand,3053082,126300,1146,2603179,449903,282093,2770989,,,,2603179
29-04-2021,Jharkhand,3083117,178450,1576,2619343,463774,290291,2792826,,,,2619343
30-04-2021,Jharkhand,3114125,186850,1640,2635993,478132,298246,2815879,,,,2635993
01-05-2021,Jharkhand,3135680,163150,1499,2647485,488195,303722,2831958,,,,2647485
02-05-2021,Jharkhand,3146799,209100,1840,2653112,493687,306394,2840405,,,,2653112
03-05-2021,Jharkhand,3165998,234750,2054,2661873,504125,310644,2855354,,,,2661873
04-05-2021,Jharkhand,3186484,135750,1247,2671304,515180,314835,2871649,,,,2671304
05-05-2021,Jharkhand,3211894,243350,2128,2681933,529961,319092,2892802,,,,2681933
06-05-2021,Jharkhand,3233186,206250,1842,2691611,541575,323010,2910176,,,,2691611
07-05-2021,Jharkhand,3257332,147300,1331,2702393,554939,328316,2929016,,,,2702393
08-05-2021,Jharkhand,3284802,239790,2102,2714194,570608,335224,2949578,,,,2714194
09-05-2021,Jharkhand,3303003,233300,2013,2722859,580144,339761,2963242,,,,2722859
10-05-2021,Jharkhand,3336638,185550,1572,2738946,597692,348346,2988292,,,,2738946
11-05-2021,Jharkhand,3373071,252550,2123,2754830,618241,356554,3016517,,,,2754830
12-05-2021,Jharkhand,3402653,260350,2143,2769962,632691,365329,3037324,,,,2769962
13-05-2021,Jharkhand,3428810,174200,1392,2782611,646199,371456,3057354,,,,2782611
14-05-2021,Jharkhand,3480054,232425,1482,2825315,654739,390932,3089122,,,,2825315
15-05-2021,Jharkhand,3541498,266006,1642,2876996,664502,414774,3126724,,,,2876996
16-05-2021,Jharkhand,3585174,243237,1619,2919090,666084,427393,3157781,,,,2919090
17-05-2021,Jharkhand,3640643,216786,1267,2972741,667902,439574,3201069,,,,2972741
18-05-2021,Jharkhand,3692552,233960,1388,3023461,669091,449565,3242987,,,,3023461
19-05-2021,Jharkhand,3743211,254732,1597,3072388,670823,459652,3283559,,,,3072388
20-05-2021,Jharkhand,3791168,196895,1129,3118200,672968,466974,3324194,,,,3118200
21-05-2021,Jharkhand,3840095,230064,1438,3165104,674991,473899,3366196,,,,3165104
22-05-2021,Jharkhand,3877535,240096,1594,3200833,676702,479462,3398073,,,,3200833
23-05-2021,Jharkhand,3922615,203426,1248,3243983,678632,483529,3439086,,,,3243983
24-05-2021,Jharkhand,3973018,266203,1687,3291812,681206,488613,3484405,,,,3291812
25-05-2021,Jharkhand,4012657,243621,1544,3328296,684361,494210,3518447,,,,3328296
26-05-2021,Jharkhand,4037120,177050,1073,3350619,686501,497805,3539315,,,,3350619
27-05-2021,Jharkhand,4053662,166004,973,3365244,688418,500385,3553277,,,,3365244
28-05-2021,Jharkhand,4084905,198164,1040,3391607,693298,507584,3577321,,,,3391607
29-05-2021,Jharkhand,4124267,216386,1069,3424365,699902,517383,3606884,,,,3424365
30-05-2021,Jharkhand,4156776,181414,895,3452239,704537,523909,3632867,,,,3452239
31-05-2021,Jharkhand,4194352,231286,1105,3484293,710059,533344,3661008,,,,3484293
01-06-2021,Jharkhand,4227513,216804,1048,3512443,715070,543490,3684023,,,,3512443
02-06-2021,Jharkhand,4266420,211775,1070,3545235,721185,559482,3706938,,,,3545235
03-06-2021,Jharkhand,4306358,195799,1003,3580164,726194,581158,3725200,,,,3580164
04-06-2021,Jharkhand,4378641,362934,1532,3646348,732293,597383,3781258,,,,3646348
05-06-2021,Jharkhand,4470721,388228,1706,3732019,738702,614300,3856421,,,,3732019
06-06-2021,Jharkhand,4549765,374040,1708,3806892,742873,630289,3919476,,,,3806892
07-06-2021,Jharkhand,4613214,283108,1311,3864177,749037,643971,3969243,,,,3864177
08-06-2021,Jharkhand,4673692,289535,1312,3918642,755050,659466,4014226,,,,3918642
09-06-2021,Jharkhand,4732666,283856,1292,3971153,761513,672971,4059695,,,,3971153
10-06-2021,Jharkhand,4802571,316420,1338,4036613,765958,680429,4122142,,,,4036613
11-06-2021,Jharkhand,4896908,437674,1743,4123823,773085,692201,4204707,,,,4123823
12-06-2021,Jharkhand,4998435,419376,1641,4212899,785536,708506,4289929,,,,4212899
13-06-2021,Jharkhand,5107681,435233,1597,4309176,798505,725793,4381888,,,,4309176
14-06-2021,Jharkhand,5200591,363908,1336,4385314,815277,744948,4455643,,,,4385314
15-06-2021,Jharkhand,5275846,347934,1276,4445031,830815,760694,4515152,,,,4445031
16-06-2021,Jharkhand,5351699,367080,1321,4506462,845237,774021,4577678,,,,4506462
17-06-2021,Jharkhand,5439159,355605,1241,4580622,858537,788070,4651089,,,,4580622
18-06-2021,Jharkhand,5546776,464320,1612,4670691,876085,803471,4743305,,,,4670691
19-06-2021,Jharkhand,5656138,457212,1586,4762333,893805,818059,4838079,,,,4762333
20-06-2021,Jharkhand,5778609,536819,1593,4869438,909171,832575,4946034,,,,4869438
21-06-2021,Jharkhand,5883561,429831,1352,4957150,926411,847517,5036044,,,,4957150
22-06-2021,Jharkhand,6000196,459592,1336,5055364,944832,870989,5129207,,,,5055364
23-06-2021,Jharkhand,6131818,515339,1363,5167917,963901,898324,5233359,,,,5167917
24-06-2021,Jharkhand,6255348,584308,1284,5275892,979456,936318,5318805,,,,5275892
25-06-2021,Jharkhand,6403158,788900,1488,5408550,994608,985041,5417787,,,,
26-06-2021,Jharkhand,6547873,917267,1445,5536533,1011340,1059822,5487646,,,,
27-06-2021,Jharkhand,6668652,766435,1199,5640086,1028566,1097573,5570674,,,,
28-06-2021,Jharkhand,6770349,703959,979,5724536,1045813,1117377,5652507,,,,
29-06-2021,Jharkhand,6830286,407640,693,5771964,1058322,1131781,5697930,,,,
30-06-2021,Jharkhand,6854142,327966,464,5789884,1064258,1139001,5714477,,,,
01-07-2021,Jharkhand,6893417,243708,499,5821359,1072058,1168258,5724395,,,,
02-07-2021,Jharkhand,6924097,160907,385,5846418,1077679,1189507,5733706,,,,
03-07-2021,Jharkhand,7059365,507098,1056,5948380,1110985,1197746,5860625,,,,
04-07-2021,Jharkhand,7199780,518789,1156,6053155,1146625,1201210,5997576,,,,
05-07-2021,Jharkhand,7301080,446043,998,6126833,1174247,1205066,6094915,,,,
06-07-2021,Jharkhand,7444490,510543,1201,6227928,1216562,1207953,6235428,,,,
07-07-2021,Jharkhand,7515450,384603,780,6276757,1238693,1215617,6298724,,,,
08-07-2021,Jharkhand,7549569,283141,454,6301519,1248050,1220051,6328409,,,,
09-07-2021,Jharkhand,7573202,283159,418,6318405,1254797,1224711,6347307,,,,
10-07-2021,Jharkhand,7649649,356482,742,6368144,1281505,1286365,6362000,,,,
11-07-2021,Jharkhand,7674657,188370,359,6385917,1288740,1304418,6368955,,,,
12-07-2021,Jharkhand,7694498,181033,290,6400833,1293665,1315152,6377917,,,,
13-07-2021,Jharkhand,7827456,380752,1091,6479490,1347966,1320658,6505239,,,,
14-07-2021,Jharkhand,7969071,372646,930,6584629,1384442,1340449,6626962,,,,
15-07-2021,Jharkhand,8018791,264675,604,6620137,1398654,1353461,6663596,,,,
16-07-2021,Jharkhand,8186347,471300,1298,6726458,1459889,1359441,6825017,,,,
17-07-2021,Jharkhand,8278886,340118,889,6794892,1483994,1363481,6913371,,,,
18-07-2021,Jharkhand,8316876,239117,496,6824102,1492774,1367445,6947307,,,,
19-07-2021,Jharkhand,8349211,201778,487,6848768,1500443,1370762,6976195,,,,
20-07-2021,Jharkhand,8370920,142056,302,6864386,1506534,1373878,6994608,,,,
21-07-2021,Jharkhand,8469011,279899,962,6932338,1536673,1375356,7091031,,,,
22-07-2021,Jharkhand,8539989,234455,759,6980511,1559478,1376778,7160417,,,,
23-07-2021,Jharkhand,8577086,177234,593,7008230,1568856,1378750,7195367,,,,
24-07-2021,Jharkhand,8728808,377867,1202,7120261,1608547,1380306,7345364,,,,
25-07-2021,Jharkhand,8884178,464460,1277,7241246,1642932,1389829,7491211,,,,
26-07-2021,Jharkhand,9026731,474745,1357,7351176,1675555,1400406,7623102,,,,
27-07-2021,Jharkhand,9135518,396386,1086,7436916,1698602,1407247,7724954,,,,
28-07-2021,Jharkhand,9209878,0,0,7496161,1713717,1411791,7794734,,,,
29-07-2021,Jharkhand,9367956,535556,1426,7613816,1754140,1434172,7930420,,,,
30-07-2021,Jharkhand,9471180,519436,1350,7689344,1781836,1450862,8016921,,,,
31-07-2021,Jharkhand,9589764,494757,1337,7776741,1813023,1473577,8112711,,,,
01-08-2021,Jharkhand,9718188,367155,942,7883243,1834945,1493415,8221297,,,,
02-08-2021,Jharkhand,9792734,384420,929,7935270,1857464,1515532,8273635,,,,
03-08-2021,Jharkhand,9873698,379932,929,7992103,1881595,1548500,8321608,,,,
04-08-2021,Jharkhand,9938490,361146,834,8040140,1898350,1573648,8361091,,,,
05-08-2021,Jharkhand,10005289,356211,837,8089638,1915651,1612600,8388893,,,,
06-08-2021,Jharkhand,10093868,401646,993,8159603,1934265,1669168,8420848,,,,
07-08-2021,Jharkhand,10218231,447624,1103,8257693,1960538,1688712,8525594,,,,
08-08-2021,Jharkhand,10293046,341774,926,8315505,1977541,1699186,8589935,,,,
09-08-2021,Jharkhand,10378294,374667,995,8382280,1996014,1710094,8664263,,,,
10-08-2021,Jharkhand,,,,,,,,,,,
11-08-2021,Jharkhand,,,,,,,,,,,
12-08-2021,Jharkhand,,,,,,,,,,,
13-08-2021,Jharkhand,,,,,,,,,,,
14-08-2021,Jharkhand,,,,,,,,,,,
15-08-2021,Jharkhand,,,,,,,,,,,
16-01-2021,Karnataka,3810,256,235,3810,0,78,3732,,,,3810
17-01-2021,Karnataka,4506,1385,1139,4506,0,82,4424,,,,4506
18-01-2021,Karnataka,14755,1999,1502,14755,0,299,14456,,,,14755
19-01-2021,Karnataka,25142,2788,1993,25142,0,443,24699,,,,25142
20-01-2021,Karnataka,36705,3687,2517,36705,0,547,36158,,,,36705
21-01-2021,Karnataka,47344,4761,3098,47344,0,670,46674,,,,47344
22-01-2021,Karnataka,77432,5156,3252,77432,0,818,76614,,,,77432
23-01-2021,Karnataka,84585,5591,3435,84585,0,842,83743,,,,84585
24-01-2021,Karnataka,93426,6385,3748,93426,0,889,92537,,,,93426
25-01-2021,Karnataka,138721,6782,3884,138721,0,1186,137535,,,,138721
26-01-2021,Karnataka,140856,7473,4122,140856,0,1407,139449,,,,140856
27-01-2021,Karnataka,196089,8018,4235,196089,0,2208,193881,,,,196089
28-01-2021,Karnataka,215875,8574,4347,215875,0,2738,213137,,,,215875
29-01-2021,Karnataka,234619,8839,4371,234619,0,2912,231707,,,,234619
30-01-2021,Karnataka,246438,8951,4391,246438,0,3230,243208,,,,246438
31-01-2021,Karnataka,247613,9027,4393,247613,0,3237,244376,,,,247613
01-02-2021,Karnataka,249931,9098,4408,249931,0,3237,246694,,,,249931
02-02-2021,Karnataka,250715,9273,4455,250715,0,3237,247478,,,,250715
03-02-2021,Karnataka,251723,9830,4554,251723,0,3237,248486,,,,251723
04-02-2021,Karnataka,265577,10732,4689,265577,0,3347,262230,,,,265577
05-02-2021,Karnataka,295307,11583,4794,295307,0,3611,291696,,,,295307
06-02-2021,Karnataka,321521,12094,4900,321521,0,3960,317561,,,,321521
07-02-2021,Karnataka,325554,12737,5064,325554,0,4641,320913,,,,325554
08-02-2021,Karnataka,350327,13474,5173,350327,0,4714,345613,,,,350327
09-02-2021,Karnataka,379152,14071,5259,379152,0,4754,374398,,,,379152
10-02-2021,Karnataka,403105,14562,5326,403105,0,4760,398345,,,,403105
11-02-2021,Karnataka,415241,15207,5443,415241,0,4772,410469,,,,415241
12-02-2021,Karnataka,430303,15543,5492,430303,0,4782,425521,,,,430303
13-02-2021,Karnataka,435685,15719,5547,435670,15,4782,430888,,,,435670
14-02-2021,Karnataka,435835,16274,5560,435820,15,4782,431038,,,,435820
15-02-2021,Karnataka,462838,17101,5594,451537,11301,5059,446478,,,,451537
16-02-2021,Karnataka,501618,18099,5614,473092,28526,5293,467799,,,,473092
17-02-2021,Karnataka,560044,18868,5644,505305,54739,5607,499698,,,,505305
18-02-2021,Karnataka,537677,19974,5673,472428,65249,5433,466995,,,,472428
19-02-2021,Karnataka,637368,20768,5706,535611,101757,5833,529778,,,,535611
20-02-2021,Karnataka,663860,21643,5735,546779,117081,5873,540906,,,,546779
21-02-2021,Karnataka,665580,25428,5842,547587,117993,5873,541714,,,,547587
22-02-2021,Karnataka,705083,27219,5866,560544,144539,5965,554579,,,,560544
23-02-2021,Karnataka,738792,27768,5878,575708,163084,6079,569629,,,,575708
24-02-2021,Karnataka,777394,28762,5890,592088,185306,6250,585838,,,,592088
25-02-2021,Karnataka,802101,30150,5908,601961,200140,6321,595640,,,,601961
26-02-2021,Karnataka,833025,30377,5911,611335,221690,6374,604961,,,,611335
27-02-2021,Karnataka,833025,30377,5911,611335,221690,6374,604961,,,,611335
28-02-2021,Karnataka,833025,30421,5915,611335,221690,6374,604961,,,,611335
01-03-2021,Karnataka,833025,31389,5974,611335,221690,6374,604961,,,,611335
02-03-2021,Karnataka,845726,32414,5990,621289,224437,6415,614874,,,,621289
03-03-2021,Karnataka,860417,33347,6002,633181,227236,6447,626734,,,,633181
04-03-2021,Karnataka,875597,34949,6019,645171,230426,6498,638673,,,,645171
05-03-2021,Karnataka,897268,41281,6039,661097,236171,6536,654561,,,,661097
06-03-2021,Karnataka,923407,56159,6132,678604,244803,6561,672043,,,,678604
07-03-2021,Karnataka,925831,65298,6200,680182,245649,6560,673622,,,,680182
08-03-2021,Karnataka,994382,68505,6238,729461,264921,6613,722848,,,,729461
09-03-2021,Karnataka,788948,163150,1144,511728,277220,7220,781675,,,,788948
10-03-2021,Karnataka,879486,359585,2887,581668,297818,7364,872069,,,,879486
11-03-2021,Karnataka,895719,104812,624,594042,301677,7364,888302,,,,895719
12-03-2021,Karnataka,998460,388300,3094,680155,318305,7523,990884,,,,998460
13-03-2021,Karnataka,1048543,237140,1747,723061,325482,7646,1040844,,,,1048543
14-03-2021,Karnataka,1067628,104350,693,741104,326524,7673,1059902,,,,1067628
15-03-2021,Karnataka,1233619,408780,3284,893702,339917,9180,1224386,,,,1233619
16-03-2021,Karnataka,1621831,274440,2057,1271286,350545,16074,1605757,,,,1271286
17-03-2021,Karnataka,2013637,427880,3444,1649513,364124,21237,1992400,,,,1649513
18-03-2021,Karnataka,2124428,268930,1958,1752016,372412,28245,2096183,,,,1752016
19-03-2021,Karnataka,2371563,443280,3548,1987433,384130,40560,2331003,,,,1987433
20-03-2021,Karnataka,2578280,451230,3671,2182510,395770,66464,2511816,,,,2182510
21-03-2021,Karnataka,2611299,144950,1097,2214176,397123,71413,2539886,,,,2214176
22-03-2021,Karnataka,2806130,484730,3936,2399962,406168,110840,2695290,,,,2399962
23-03-2021,Karnataka,2954336,375880,2994,2539195,415141,161808,2792528,,,,2539195
24-03-2021,Karnataka,3140034,514570,4255,2716069,423965,226117,2913917,,,,2716069
25-03-2021,Karnataka,3234506,327530,2592,2805919,428587,270281,2964225,,,,2805919
26-03-2021,Karnataka,3396982,525850,4394,2960802,436180,323185,3073797,,,,2960802
27-03-2021,Karnataka,3522500,447531,3717,3080769,441731,353843,3168657,,,,3080769
28-03-2021,Karnataka,3542620,219350,1768,3100377,442243,356600,3186020,,,,3100377
29-03-2021,Karnataka,3682325,522590,4326,3234131,448194,378391,3303934,,,,3234131
30-03-2021,Karnataka,3800933,452550,3730,3346567,454366,395682,3405251,,,,3346567
31-03-2021,Karnataka,3952215,541080,4529,3489527,462688,412737,3539478,,,,3489527
01-04-2021,Karnataka,4066715,452680,3875,3599566,467149,425440,3641275,,,,3599566
02-04-2021,Karnataka,4266426,514400,4568,3793071,473355,442763,3823663,,,,3793071
03-04-2021,Karnataka,4450751,591470,5431,3971518,479233,454895,3995856,,,,3971518
04-04-2021,Karnataka,4592345,510310,4510,4108669,483676,464461,4127884,,,,4108669
05-04-2021,Karnataka,4765091,675771,6103,4274168,490923,478207,4286884,,,,4274168
06-04-2021,Karnataka,4874443,705350,6304,4378738,495705,491658,4382785,,,,4378738
07-04-2021,Karnataka,5193089,743223,6734,4681696,511393,522784,4670305,,,,4681696
08-04-2021,Karnataka,5463170,739551,6527,4936256,526914,541190,4921980,,,,4936256
09-04-2021,Karnataka,5788229,817850,7338,5241266,546963,555182,5233047,,,,5241266
10-04-2021,Karnataka,6066457,752250,6838,5502062,564395,566845,5499612,,,,5502062
11-04-2021,Karnataka,6208540,692240,6163,5635988,572552,572077,5636463,,,,5635988
12-04-2021,Karnataka,6407151,779510,6980,5814005,593146,578395,5828756,,,,5814005
13-04-2021,Karnataka,6446449,679710,6051,5848181,598268,580152,5866297,,,,5848181
14-04-2021,Karnataka,6550378,702910,6246,5935191,615187,585978,5964400,,,,5935191
15-04-2021,Karnataka,6704302,713610,6219,6060959,643343,595970,6108332,,,,6060959
16-04-2021,Karnataka,6910211,753660,6538,6226534,683677,613354,6296857,,,,6226534
17-04-2021,Karnataka,7191885,740050,6682,6449119,742766,642055,6549830,,,,6449119
18-04-2021,Karnataka,7296541,707510,6265,6532361,764180,654574,6641967,,,,6532361
19-04-2021,Karnataka,7542740,810010,7256,6710926,831814,688768,6853972,,,,6710926
20-04-2021,Karnataka,7768341,829600,7385,6871164,897177,723260,7045081,,,,6871164
21-04-2021,Karnataka,7957698,774590,6960,7004724,952974,753927,7203771,,,,7004724
22-04-2021,Karnataka,8189265,802100,7148,7158532,1030733,788176,7401089,,,,7158532
23-04-2021,Karnataka,8446284,826360,7407,7334071,1112213,829495,7616789,,,,7334071
24-04-2021,Karnataka,8592838,700250,6474,7439115,1153723,854160,7738678,,,,7439115
25-04-2021,Karnataka,8673546,705670,6449,7495232,1178314,861190,7812356,,,,7495232
26-04-2021,Karnataka,8892099,763690,6974,7631765,1260334,882421,8009678,,,,7631765
27-04-2021,Karnataka,9088000,782540,7108,7750770,1337230,896837,8191163,,,,7750770
28-04-2021,Karnataka,9276973,698750,6546,7864503,1412470,908939,8368034,,,,7864503
29-04-2021,Karnataka,9400272,701840,6501,7940695,1459577,920031,8480241,,,,7940695
30-04-2021,Karnataka,9642439,749050,7030,8090917,1551522,930091,8712348,,,,8090917
01-05-2021,Karnataka,9776943,631535,6053,8178490,1598453,935680,8841263,,,,8178490
02-05-2021,Karnataka,9817518,532150,5106,8204770,1612748,938372,8879146,,,,8204770
03-05-2021,Karnataka,9901051,649720,6155,8253648,1647403,944843,8956208,,,,8253648
04-05-2021,Karnataka,9962735,615350,5857,8289078,1673657,950466,9012269,,,,8289078
05-05-2021,Karnataka,10150823,715825,6731,8387120,1763703,955020,9195803,,,,8387120
06-05-2021,Karnataka,10314190,665650,6306,8468403,1845787,960947,9353243,,,,8468403
07-05-2021,Karnataka,10450470,729950,6822,8527328,1923142,974772,9475698,,,,8527328
08-05-2021,Karnataka,10596894,694450,6532,8577077,2019817,996834,9600060,,,,8577077
09-05-2021,Karnataka,10643323,580800,5579,8591372,2051951,1005810,9637513,,,,8591372
10-05-2021,Karnataka,10772140,683600,6375,8638830,2133310,1019608,9752532,,,,8638830
11-05-2021,Karnataka,10963129,616070,5596,8718545,2244584,1029732,9933397,,,,8718545
12-05-2021,Karnataka,11102044,602683,5509,8792803,2309241,1040062,10061982,,,,8792803
13-05-2021,Karnataka,11205478,540350,4932,8851449,2354029,1050609,10154869,,,,8851449
14-05-2021,Karnataka,11296508,563300,5332,8885120,2411388,1064149,10232359,,,,8885120
15-05-2021,Karnataka,11424456,663200,6150,8927204,2497252,1100992,10323464,,,,8927204
16-05-2021,Karnataka,11448846,512946,4641,8942960,2505886,1110213,10338633,,,,8942960
17-05-2021,Karnataka,11543880,691059,5780,9017346,2526534,1132318,10411562,,,,9017346
18-05-2021,Karnataka,11629177,645187,5381,9091077,2538100,1145476,10483701,,,,9091077
19-05-2021,Karnataka,11714719,658018,5183,9162909,2551810,1164652,10550067,,,,9162909
20-05-2021,Karnataka,11800829,687539,5186,9228494,2572335,1194325,10606504,,,,9228494
21-05-2021,Karnataka,11909365,737343,5433,9307694,2601671,1235124,10674241,,,,9307694
22-05-2021,Karnataka,12024591,802712,5443,9407939,2616652,1258645,10765946,,,,9407939
23-05-2021,Karnataka,12090122,654657,4493,9468988,2621134,1264260,10825862,,,,9468988
24-05-2021,Karnataka,12245538,909171,5523,9612835,2632703,1280434,10965104,,,,9612835
25-05-2021,Karnataka,12412615,1005051,5439,9770531,2642084,1293886,11118729,,,,9770531
26-05-2021,Karnataka,12592227,1115314,5795,9939939,2652288,1307789,11284438,,,,9939939
27-05-2021,Karnataka,12825223,1185146,5520,10154372,2670851,1337833,11487390,,,,10154372
28-05-2021,Karnataka,13092345,1255788,5746,10393577,2698768,1378841,11713504,,,,10393577
29-05-2021,Karnataka,13346630,1196473,4979,10625599,2721031,1416080,11930550,,,,10625599
30-05-2021,Karnataka,13439808,898354,3850,10709480,2730328,1432867,12006941,,,,10709480
31-05-2021,Karnataka,13683390,1243336,4934,10929687,2753703,1472981,12210409,,,,10929687
01-06-2021,Karnataka,13906541,1234927,4173,11133566,2772975,1510138,12396403,,,,11133566
02-06-2021,Karnataka,14154710,1315234,4355,11363561,2791149,1547710,12607000,,,,11363561
03-06-2021,Karnataka,14407706,1378346,4452,11596660,2811046,1584906,12822800,,,,11596660
04-06-2021,Karnataka,14735361,1616711,5043,11899361,2836000,1624209,13111152,,,,11899361
05-06-2021,Karnataka,15068597,1680845,5276,12206183,2862414,1665088,13403436,,,,12206183
06-06-2021,Karnataka,15203304,1144187,3719,12333182,2870122,1676132,13526684,,,,12333182
07-06-2021,Karnataka,15504527,1607382,5113,12612607,2891920,1702136,13801567,,,,12612607
08-06-2021,Karnataka,15759842,1565975,4827,12847608,2912234,1726068,14032950,,,,12847608
09-06-2021,Karnataka,15992599,1416620,4675,13058077,2934522,1750005,14241770,,,,13058077
10-06-2021,Karnataka,16249047,1469398,4746,13294675,2954372,1770493,14477695,,,,13294675
11-06-2021,Karnataka,16580369,1647571,5352,13599544,2980825,1794208,14785131,,,,13599544
12-06-2021,Karnataka,16892231,1700787,5196,13885050,3007181,1815645,15075457,,,,13885050
13-06-2021,Karnataka,16998892,1100020,3654,13985016,3013876,1820512,15177251,,,,13985016
14-06-2021,Karnataka,17262828,1662102,5331,14219979,3042849,1834806,15426838,,,,14219979
15-06-2021,Karnataka,17482779,1559385,4984,14412058,3070721,1848603,15632932,,,,14412058
